Date,Expenses,Category,Amount,Municipality,Province,Region,ID
11-9-2021,Grocery,Survival,300,Quezon City,Metro Manila,National Capital Region,E2021-464
11-9-2021,Transportation,Survival,35,Quezon City,Metro Manila,National Capital Region,E2021-465
11-11-2021,Clothing/Shoes/Personal Items,Optional,4000,Quezon City,Metro Manila,National Capital Region,E2021-466
11-13-2021,Debt repayment,Obligation,1670,Makati City,Metro Manila,National Capital Region,E2021-467
11-13-2021,Pension Fund,Obligation,1300,Makati City,Metro Manila,National Capital Region,E2021-468
11-14-2021,Food/Drinks,Survival,270,Quezon City,Metro Manila,National Capital Region,E2021-469
11-14-2021,Transportation,Survival,55,Quezon City,Metro Manila,National Capital Region,E2021-470
11-16-2021,Grocery,Survival,360.65,Quezon City,Metro Manila,National Capital Region,E2021-471
11-16-2021,Transportation,Survival,55,Quezon City,Metro Manila,National Capital Region,E2021-472
11-17-2021,Healthcare,Survival,2499,Quezon City,Metro Manila,National Capital Region,E2021-473
