Date,Expenses,Category,Amount,Municipality,Province,Region,ID
6-15-2021,Home,Obligation,3000,Pontevedra,Capiz,Western Visayas,E2021-232
6-15-2021,Debt repayment,Obligation,1670,Makati City,Metro Manila,National Capital Region,E2021-233
6-15-2021,Pension Fund,Obligation,650,Makati City,Metro Manila,National Capital Region,E2021-234
6-15-2021,Grocery,Survival,284.77,Quezon City,Metro Manila,National Capital Region,E2021-235
6-15-2021,Phone/Internet,Optional,90,Quezon City,Metro Manila,National Capital Region,E2021-236
6-15-2021,Transportation,Survival,20,Quezon City,Metro Manila,National Capital Region,E2021-237
6-16-2021,Personal care items (drugstore),Survival,212.5,Quezon City,Metro Manila,National Capital Region,E2021-238
6-16-2021,Others,Unexpected,104,Quezon City,Metro Manila,National Capital Region,E2021-239
6-16-2021,Grocery,Survival,104,Quezon City,Metro Manila,National Capital Region,E2021-240
6-16-2021,Transportation,Survival,85,Quezon City,Metro Manila,National Capital Region,E2021-241
6-17-2021,Garbage,Obligation,10,Quezon City,Metro Manila,National Capital Region,E2021-242
6-17-2021,Food/Drinks,Optional,3,Quezon City,Metro Manila,National Capital Region,E2021-243
6-19-2021,Electricity/Water,Obligation,385,Quezon City,Metro Manila,National Capital Region,E2021-244
6-19-2021,Grocery,Survival,358,Quezon City,Metro Manila,National Capital Region,E2021-245
6-19-2021,Transportation,Survival,20,Quezon City,Metro Manila,National Capital Region,E2021-246
6-20-2021,Debt repayment,Obligation,17.3,Quezon City,Metro Manila,National Capital Region,E2021-247
6-22-2021,Grocery,Survival,420.51,Quezon City,Metro Manila,National Capital Region,E2021-248
6-22-2021,Phone/Internet,Optional,90,Quezon City,Metro Manila,National Capital Region,E2021-249
6-22-2021,Transportation,Survival,20,Quezon City,Metro Manila,National Capital Region,E2021-250
6-23-2021,Electricity/Water,Obligation,130.61,Quezon City,Metro Manila,National Capital Region,E2021-251
6-24-2021,Food/Drinks,Optional,20,Quezon City,Metro Manila,National Capital Region,E2021-252
6-25-2021,Food/Drinks,Optional,3,Quezon City,Metro Manila,National Capital Region,E2021-253
6-26-2021,Grocery,Survival,412,Quezon City,Metro Manila,National Capital Region,E2021-254
6-26-2021,Phone/Internet,Optional,90,Quezon City,Metro Manila,National Capital Region,E2021-255
6-26-2021,Transportation,Survival,35,Quezon City,Metro Manila,National Capital Region,E2021-256
6-29-2021,Apartment,Obligation,1000,Quezon City,Metro Manila,National Capital Region,E2021-257
6-29-2021,Grocery,Survival,433.85,Quezon City,Metro Manila,National Capital Region,E2021-258
6-29-2021,Transportation,Survival,35,Quezon City,Metro Manila,National Capital Region,E2021-259
6-30-2021,Home,Optional,5000,Pontevedra,Capiz,Western Visayas,E2021-260
6-30-2021,Home,Obligation,3000,Pontevedra,Capiz,Western Visayas,E2021-261
6-30-2021,Debt repayment,Obligation,2800,Makati City,Metro Manila,National Capital Region,E2021-262
6-30-2021,Home,Obligation,300,Pontevedra,Capiz,Western Visayas,E2021-263
6-30-2021,Hair Cut,Survival,255.15,Quezon City,Metro Manila,National Capital Region,E2021-264
6-30-2021,Food/Drinks,Survival,65,Quezon City,Metro Manila,National Capital Region,E2021-265
6-30-2021,Transportation,Survival,35,Quezon City,Metro Manila,National Capital Region,E2021-266
7-1-2021,Food/Drinks,Optional,23,Quezon City,Metro Manila,National Capital Region,E2021-267
7-2-2021,Phone/Internet,Optional,90,Quezon City,Metro Manila,National Capital Region,E2021-268
7-3-2021,Food/Drinks,Survival,162,Quezon City,Metro Manila,National Capital Region,E2021-269
7-4-2021,Home,Obligation,200,Pontevedra,Capiz,Western Visayas,E2021-270
7-5-2021,Food/Drinks,Survival,64,Quezon City,Metro Manila,National Capital Region,E2021-271
